,Name,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,clusters
93,Ski Ward,Massachusetts,420,210,210,0,0,0,0,0,1,0,3,4,11,1,0.2,45.0,45.0,105,50,80.0,57.92,64.17,120,38.0,1
94,Wachusett Mountain Ski Area,Massachusetts,2006,1000,1006,0,0,0,3,0,1,0,4,8,27,2,1.5,112.0,112.0,112,57,100.0,65.0,71.0,120,104.0,1
95,Alpine Valley Ski Area,Michigan,500,240,126,0,0,0,0,1,2,5,6,14,25,3,0.2,100.0,100.0,104,57,20.0,39.0,47.0,111,100.0,1
96,Apple Mountain,Michigan,820,220,600,0,0,0,0,1,0,0,5,6,12,0,1.43,80.0,42.0,104,58,52.0,35.0,35.0,111,80.0,1
97,Big Powderhorn Mountain,Michigan,1800,600,1200,0,0,0,0,0,0,9,1,10,45,2,1.0,253.0,228.0,100,55,214.0,69.0,69.0,108,0.0,1
98,Bittersweet Ski Area,Michigan,850,350,450,0,0,0,0,1,7,0,4,12,20,2,0.2,100.0,100.0,80,36,90.0,38.0,48.0,111,100.0,1
99,Big Snow Resort - Blackjack,Michigan,850,465,385,0,0,0,0,0,0,4,2,6,26,2,1.0,170.0,86.0,95,42,210.0,49.0,65.0,115,0.0,1
100,Boyne Highlands,Michigan,1290,552,745,0,0,0,1,3,4,0,2,10,55,4,1.2,435.0,400.0,97,56,140.0,78.0,98.0,120,150.0,1
101,Boyne Mountain Resort,Michigan,1120,500,620,0,0,1,0,4,3,2,2,12,60,7,1.0,415.0,380.0,122,71,140.0,57.92,64.17,130,200.0,1
102,Caberfae Peaks,Michigan,1569,485,1060,0,0,0,0,1,2,1,1,5,34,2,1.2,200.0,200.0,118,82,140.0,39.0,49.0,130,150.0,1
103,Cannonsburg,Michigan,1100,250,850,0,0,0,0,1,1,1,7,10,21,5,0.1,100.0,128.2,100,54,100.0,30.0,37.0,100,0.0,1
104,Crystal Mountain,Michigan,1132,375,757,0,0,0,1,3,2,0,2,8,58,3,0.3,102.0,96.0,120,63,132.0,54.0,64.0,135,56.0,1
105,Big Snow Resort - Indianhead Mountain,Michigan,1935,638,1297,0,0,0,0,1,1,5,2,9,32,2,1.0,240.0,150.0,120,60,204.0,49.0,49.0,120,0.0,1
106,Marquette Mountain,Michigan,1357,600,757,0,0,0,0,0,1,2,1,4,35,3,0.7,169.0,143.0,139,60,210.0,57.92,64.17,135,89.0,1
107,Mont Ripley,Michigan,1140,440,700,0,0,0,0,0,0,2,2,4,25,2,0.8,112.0,112.0,114,83,275.0,49.0,49.0,100,100.0,1
108,Mount Bohemia,Michigan,1500,900,600,0,0,0,0,0,1,1,0,2,48,0,2.3,585.0,128.2,83,19,273.0,68.0,68.0,100,0.0,1
109,Mt. Brighton,Michigan,1330,230,1100,0,0,0,0,2,3,0,8,13,25,5,0.1,130.0,130.0,111,59,60.0,52.0,59.0,100,130.0,1
110,Mt. Holiday Ski Area,Michigan,440,200,240,0,0,0,0,0,0,2,2,4,12,0,0.1,45.0,45.0,100,70,120.0,22.0,34.0,90,45.0,1
111,Mount Holly,Michigan,1105,350,755,0,0,0,1,2,3,1,6,13,19,0,0.1,100.0,100.0,104,63,42.0,37.0,45.0,102,100.0,1
