,Name,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,clusters
210,Toggenburg Mountain,New York,2000,700,1300,0,0,0,0,0,1,1,3,5,22,2,0.4,85.0,144.2,108,66,130.0,55.0,55.0,122,73.0,1
211,West Mountain,New York,1470,1010,460,0,0,0,0,0,1,2,2,5,29,1,0.6,124.0,105.0,108,58,80.0,49.0,59.0,120,105.0,1
212,Whiteface Mountain Resort,New York,4650,3430,1220,1,0,0,1,1,2,5,2,12,86,5,2.1,288.0,220.0,122,61,168.0,96.0,96.0,141,0.0,1
213,Willard Mountain,New York,1415,505,910,0,0,0,0,0,0,2,3,5,16,0,0.4,50.0,35.0,85,19,80.0,46.0,46.0,120,35.0,1
214,Windham Mountain,New York,3100,1600,1500,0,0,1,2,0,3,1,5,12,54,6,2.0,285.0,280.0,123,59,105.0,85.0,95.0,130,56.0,1
215,Woods Valley Ski Area,New York,1400,500,900,0,0,0,0,0,0,2,4,6,21,0,0.3,25.0,16.0,108,55,180.0,31.0,39.0,112,15.0,1
216,Appalachian Ski Mountain,North Carolina,4000,365,3635,0,0,0,0,2,0,1,2,5,12,3,0.5,27.0,27.0,100,57,50.0,40.0,64.0,100,27.0,1
217,Cataloochee Ski Area,North Carolina,5400,740,4660,0,0,0,0,1,1,1,2,5,18,2,1.0,50.0,50.0,141,58,50.0,43.0,70.0,108,50.0,2
218,Sapphire Valley,North Carolina,3450,200,3200,0,0,0,0,1,0,0,2,3,48,1,1.0,8.0,8.0,53,55,24.0,40.0,43.0,60,8.0,1
219,Beech Mountain Resort,North Carolina,5506,830,4675,0,0,0,0,3,0,3,2,8,17,1,1.0,95.0,95.0,98,52,31.0,41.0,68.0,98,95.0,2
220,Sugar Mountain Resort,North Carolina,5300,1200,4100,0,0,1,0,0,1,4,2,8,21,1,1.5,125.0,125.0,114,50,77.0,45.0,75.0,120,95.0,2
221,Wolf Ridge Ski Resort,North Carolina,4700,720,4000,0,0,0,0,1,0,1,2,4,15,1,0.6,65.0,65.0,101,49,65.0,42.0,65.0,100,60.0,2
222,Alpine Valley,Ohio,1500,230,1260,0,0,0,0,1,2,1,1,5,11,1,0.2,72.0,72.0,105,53,120.0,43.0,43.0,95,72.0,1
223,Boston Mills,Ohio,871,264,631,0,0,0,0,0,4,2,2,8,7,2,0.3,40.0,40.0,92,56,51.0,44.0,44.0,110,40.0,1
224,Brandywine,Ohio,871,240,631,0,0,0,0,2,7,2,5,16,11,2,0.3,85.0,85.0,92,56,51.0,44.0,44.0,110,85.0,1
225,Mad River Mountain,Ohio,1460,300,1160,0,0,0,0,1,2,3,6,12,20,4,0.5,144.0,144.0,99,57,36.0,39.0,44.0,90,144.0,1
226,Snow Trails,Ohio,1475,301,1174,0,0,0,0,0,4,2,3,9,17,3,0.2,80.0,80.0,101,58,50.0,41.0,52.0,70,80.0,1
227,Anthony Lakes Mountain Resort,Oregon,8000,900,7100,0,0,0,0,0,1,0,2,3,21,2,1.5,1100.0,40.0,75,56,300.0,40.0,40.0,80,0.0,2
228,Cooper Spur,Oregon,4000,350,3500,0,0,0,0,0,0,1,1,2,10,0,0.1,50.0,29.0,78,66,100.0,39.0,39.0,90,0.0,1
229,Hoodoo Ski Area,Oregon,5703,1035,4668,0,0,0,0,3,1,1,0,5,34,0,0.4,806.0,40.0,80,81,350.0,59.0,59.0,108,200.0,2
230,Mt. Ashland,Oregon,7533,1150,6383,0,0,0,0,0,2,2,1,5,23,2,1.0,220.0,40.0,94,55,300.0,45.0,52.0,92,40.0,2
231,Mt. Bachelor,Oregon,9065,3365,5700,0,0,0,8,0,3,0,0,11,101,5,4.0,4318.0,20.0,185,61,462.0,99.0,99.0,185,0.0,0
232,Mt. Hood Meadows,Oregon,7300,2777,4523,0,0,0,6,0,0,5,2,13,85,6,3.0,2150.0,29.0,118,51,430.0,57.92,64.17,160,170.0,2
233,Mt. Hood Skibowl,Oregon,5100,1500,3600,0,0,0,0,0,0,4,5,9,65,2,3.0,960.0,29.0,125,82,300.0,70.0,70.0,144,317.0,2
234,Spout Springs,Oregon,5500,610,4850,0,0,0,0,0,0,2,2,4,14,0,0.1,200.0,40.0,117,19,118.0,57.92,64.17,125,100.0,2
235,Timberline Lodge,Oregon,8540,3690,6000,0,0,0,5,0,1,1,1,8,41,5,2.0,1415.0,29.0,305,82,550.0,57.92,64.17,305,300.0,2
236,Willamette Pass,Oregon,6683,1563,5120,0,0,1,0,0,3,0,1,5,29,0,2.1,555.0,60.0,3,78,430.0,60.0,60.0,100,0.0,2
237,Bear Creek Mountain Resort,Pennsylvania,1100,510,600,0,0,0,0,3,1,0,2,6,23,3,1.0,86.0,86.0,91,52,30.0,50.0,60.0,90,86.0,1
238,Ski Big Bear,Pennsylvania,1250,650,600,0,0,0,0,0,0,4,2,6,18,1,1.5,26.0,26.0,75,43,69.0,50.0,62.0,75,26.0,1
239,Big Boulder,Pennsylvania,2175,600,1700,0,0,0,0,0,2,5,1,8,16,8,1.43,55.0,55.0,76,72,50.0,50.0,65.0,95,55.0,1
240,Blue Knob,Pennsylvania,3146,1072,2074,0,0,0,0,0,2,2,2,6,34,1,2.0,100.0,84.0,87,56,120.0,43.0,68.0,105,42.0,1
241,Blue Mountain Resort,Pennsylvania,1600,1082,460,0,0,1,1,1,1,3,9,16,39,5,1.2,164.0,164.0,122,42,33.0,55.0,65.0,112,164.0,1
242,Camelback Mountain Resort,Pennsylvania,2100,800,1250,0,0,0,2,0,3,5,6,16,37,5,1.0,166.0,166.0,100,56,50.0,55.0,70.0,100,160.0,1
243,Eagle Rock,Pennsylvania,1810,550,1260,0,0,0,0,0,0,3,0,3,14,1,1.0,104.9,101.3,94,47,54.4,57.92,64.17,40,0.0,1
244,Elk Mountain Ski Resort,Pennsylvania,2693,1000,1693,0,0,0,0,1,0,5,1,7,27,2,0.7,180.0,146.0,94,60,60.0,55.0,69.0,100,90.0,1
245,Jack Frost,Pennsylvania,2000,600,1400,0,0,0,0,1,2,5,1,9,20,1,1.0,100.0,100.0,96,47,50.0,50.0,65.0,105,0.0,1
246,Liberty,Pennsylvania,1190,620,570,0,0,0,0,5,0,0,3,8,16,3,1.0,100.0,100.0,107,54,31.0,67.0,77.0,97,100.0,1
247,Mount Pleasant of Edinboro,Pennsylvania,1540,340,1200,0,0,0,0,0,1,0,1,2,10,0,0.5,40.0,35.0,75,48,100.0,30.0,33.0,90,35.0,1
248,Roundtop Mountain Resort,Pennsylvania,1400,600,800,0,0,0,0,3,2,0,3,8,20,2,0.4,103.0,103.0,94,55,30.0,63.0,73.0,96,100.0,1
249,Seven Springs,Pennsylvania,2994,750,2240,0,0,2,0,3,5,0,4,14,33,7,1.2,285.0,285.0,99,87,135.0,67.0,87.0,115,200.0,1
250,Shawnee Mountain Ski Area,Pennsylvania,1350,700,650,0,0,0,1,1,0,4,4,10,23,2,1.6,125.0,125.0,100,44,50.0,55.0,65.0,122,120.0,1
251,Ski Sawmill,Pennsylvania,2215,515,1700,0,0,0,0,0,1,1,3,5,14,1,0.1,15.0,13.0,94,50,24.0,30.0,44.0,90,15.0,1
252,Montage Mountain,Pennsylvania,1960,1000,960,0,0,0,0,1,3,1,2,7,26,1,1.2,140.0,140.0,60,35,47.0,67.0,64.17,90,140.0,1
253,Spring Mountain Ski Area,Pennsylvania,528,450,78,0,0,0,0,0,1,3,2,6,9,1,0.2,45.0,45.0,100,56,20.0,57.92,64.17,100,45.0,1
254,Tussey Mountain,Pennsylvania,1750,520,1230,0,0,0,0,1,0,1,3,5,8,1,0.3,38.0,30.0,100,39,41.0,40.0,45.0,100,30.0,1
255,Whitetail Resort,Pennsylvania,1800,935,865,0,0,0,1,3,0,2,2,8,23,2,1.0,120.0,120.0,116,28,40.0,69.0,71.0,100,120.0,1
256,Yawgoo Valley,Rhode Island,315,245,70,0,0,0,0,0,0,2,2,4,13,1,0.2,30.0,30.0,100,54,40.0,57.92,64.17,100,30.0,1
257,Deer Mountain Ski Resort,South Dakota,6850,940,6040,0,0,0,0,0,1,1,2,4,63,2,1.6,500.0,50.0,69,51,200.0,45.0,45.0,81,0.0,2
258,Terry Peak Ski Area,South Dakota,7100,1100,5900,0,0,0,3,0,1,0,1,5,30,1,1.2,450.0,225.0,114,65,150.0,58.0,58.0,120,0.0,2
260,Alta Ski Area,Utah,11068,2538,8530,0,0,0,3,0,1,2,0,6,116,0,1.3,2614.0,140.0,150,81,545.0,116.0,116.0,140,0.0,0
261,Beaver Mountain,Utah,8600,1600,7232,0,0,0,0,0,1,3,1,5,48,2,0.8,464.0,259.2,120,81,400.0,50.0,50.0,120,0.0,2
262,Brian Head Resort,Utah,10970,1548,9600,0,0,0,1,0,6,1,0,8,71,2,0.6,650.0,216.0,149,54,360.0,42.0,59.0,148,0.0,0
263,Brighton Resort,Utah,10500,1745,8755,0,0,0,3,1,1,0,2,7,66,4,1.2,1050.0,200.0,138,83,500.0,85.0,85.0,138,200.0,0
264,Deer Valley Resort,Utah,9570,3000,6570,1,0,0,13,0,5,2,0,21,103,0,2.8,2026.0,660.0,156,39,300.0,169.0,169.0,150,0.0,0
265,Eagle Point,Utah,10600,1500,9100,0,0,0,0,1,1,2,1,5,40,1,0.9,650.0,259.2,128,9,400.0,45.0,60.0,109,0.0,0
266,Park City,Utah,10000,3200,6800,4,0,6,10,4,7,4,6,41,341,8,3.5,7300.0,750.0,142,56,355.0,57.92,64.17,143,0.0,0
267,Powder Mountain,Utah,9422,2522,6900,0,0,0,1,4,1,0,3,9,167,2,3.5,8464.0,259.2,120,47,500.0,88.0,88.0,146,300.0,0
268,Snowbasin,Utah,9350,2900,6450,3,0,1,2,0,3,0,2,11,107,4,3.5,3000.0,625.0,143,79,300.0,115.0,115.0,138,0.0,0
269,Snowbird,Utah,11000,3240,7760,1,0,0,6,0,0,4,3,14,170,1,2.5,2500.0,380.0,188,48,500.0,125.0,125.0,180,2.0,0
270,Solitude Mountain Resort,Utah,10488,2494,7994,0,0,0,4,2,1,1,1,9,80,0,3.0,1200.0,150.0,161,62,500.0,109.0,119.0,148,0.0,0
271,Sundance,Utah,8250,2150,6100,0,0,0,0,2,2,0,1,5,45,1,0.6,450.0,112.0,128,50,320.0,80.0,80.0,129,0.0,2
272,Nordic Valley Resort,Utah,6400,960,5440,0,0,0,0,0,0,2,2,4,23,1,0.4,140.0,84.0,105,51,300.0,45.0,50.0,105,140.0,2
273,Bolton Valley,Vermont,3150,1704,1446,0,0,0,0,2,0,3,1,6,71,3,0.6,300.0,90.0,133,53,300.0,69.0,79.0,132,50.0,1
274,Bromley Mountain,Vermont,3284,1334,1950,0,0,0,1,1,0,4,3,9,47,1,2.5,178.0,153.0,137,83,168.0,87.0,91.0,152,0.0,1
275,Burke Mountain,Vermont,3267,2011,1210,0,0,0,2,1,0,0,3,6,50,3,2.2,178.0,125.0,110,62,217.0,73.0,73.0,125,0.0,1
276,Jay Peak,Vermont,3968,2153,1815,1,0,0,1,3,1,1,2,9,79,2,3.0,385.0,300.0,155,64,349.0,89.0,89.0,160,0.0,1
277,Killington Resort,Vermont,4241,3050,1165,3,0,1,5,4,3,1,5,22,155,6,6.0,1515.0,600.0,192,61,250.0,119.0,119.0,136,0.0,1
278,Mad River Glen,Vermont,3637,2037,1600,0,0,0,0,0,2,2,1,5,52,0,1.0,115.0,16.0,134,71,228.0,57.92,64.17,135,0.0,1
279,Magic Mountain,Vermont,2850,1500,1350,0,0,0,0,0,0,3,3,6,50,1,1.6,205.0,95.0,76,59,150.0,74.0,74.0,80,0.0,1
280,Mount Snow,Vermont,3600,1700,1900,0,0,1,3,1,6,4,5,20,86,10,3.0,600.0,480.0,135,65,156.0,57.92,64.17,135,0.0,1
281,Okemo Mountain Resort,Vermont,3344,2200,1144,0,0,1,4,5,3,0,7,20,121,9,4.0,667.0,654.0,146,63,200.0,57.92,64.17,152,0.0,1
282,Pico Mountain ,Vermont,3967,1967,2000,0,0,0,2,0,2,2,1,7,59,1,4.0,260.0,156.0,137,82,250.0,81.0,81.0,136,0.0,1
283,Smugglers' Notch Resort,Vermont,3640,2610,1030,0,0,0,0,0,0,6,2,8,78,6,3.0,1000.0,192.0,136,63,280.0,79.0,79.0,135,0.0,1
284,Stowe Mountain Resort,Vermont,4395,2360,2035,2,0,0,0,4,2,2,2,12,116,0,3.7,485.0,388.0,155,86,314.0,57.92,64.17,137,0.0,1
285,Stratton Mountain,Vermont,3875,2003,1872,1,0,4,1,2,1,1,1,11,99,4,3.0,670.0,474.0,155,58,180.0,57.92,64.17,160,0.0,1
286,Sugarbush,Vermont,4083,2600,1483,0,0,0,5,5,2,1,3,16,111,4,3.0,581.0,406.0,150,61,250.0,119.0,119.0,156,0.0,1
287,Suicide Six,Vermont,1200,650,550,0,0,0,0,0,0,2,1,3,24,0,0.4,100.0,50.0,100,85,90.0,45.0,75.0,106,0.0,1
288,Bryce Resort,Virginia,1750,500,1250,0,0,0,0,1,0,1,5,7,8,0,0.4,25.0,25.0,100,54,30.0,43.0,68.0,95,20.0,1
289,Massanutten,Virginia,2925,1110,1750,0,0,0,0,3,1,0,3,7,13,2,0.8,70.0,70.0,68,46,35.0,57.92,64.17,97,70.0,1
290,The Homestead Ski Area,Virginia,3200,700,2500,0,0,0,0,0,0,1,1,2,10,0,1.0,45.0,100.0,91,60,50.0,57.92,64.17,100,0.0,1
291,Wintergreen Resort,Virginia,3515,1003,2512,0,0,2,0,1,1,1,0,5,27,2,1.0,129.0,129.0,107,44,34.0,59.0,64.17,121,45.0,1
292,49 Degrees North,Washington,5774,1851,3932,0,0,0,0,1,0,5,1,7,89,1,2.0,2325.0,27.8,101,48,301.0,62.0,62.0,135,250.0,2
293,Alpental,Washington,5420,2280,3140,0,0,0,1,0,0,3,1,5,24,0,1.2,825.0,27.8,120,52,428.0,57.92,64.17,144,121.0,2
294,Bluewood,Washington,5670,1125,4545,0,0,0,0,0,2,0,1,3,24,2,2.0,355.0,27.8,70,40,300.0,42.0,47.0,110,0.0,2
295,Crystal Mountain,Washington,7012,3100,4400,1,0,2,2,1,2,2,0,10,57,1,2.5,2600.0,10.0,114,57,486.0,99.0,99.0,131,0.0,2
296,Mission Ridge,Washington,6820,2250,4570,0,0,0,1,0,0,3,2,6,48,3,0.8,2000.0,66.0,104,53,200.0,57.92,64.17,96,500.0,2
297,Mt. Baker,Washington,5000,1500,3500,0,0,0,0,8,0,0,2,10,38,0,0.7,1000.0,27.8,143,66,663.0,53.75,60.01,165,0.0,2
298,Mt. Spokane Ski and Snowboard Park,Washington,5889,2000,4200,0,0,0,0,0,1,5,1,7,52,3,0.6,1704.0,27.8,100,81,300.0,45.0,59.0,103,45.0,2
299,Stevens Pass Resort,Washington,5845,1800,4061,0,0,0,3,0,4,3,0,10,52,4,1.0,1125.0,27.8,116,82,460.0,57.92,64.17,145,450.0,2
300,The Summit at Snoqualmie,Washington,3865,1025,2840,0,0,0,3,3,4,10,7,27,112,5,0.8,1994.0,5.0,120,82,428.0,85.0,95.0,140,541.0,1
301,White Pass,Washington,6550,2050,4500,0,0,0,2,1,1,2,2,8,45,2,2.5,1402.0,30.0,148,67,400.0,69.0,69.0,144,90.0,2
302,Canaan Valley Resort,West Virginia,4280,850,3430,0,0,0,0,1,2,0,1,4,47,1,1.2,95.0,75.0,114,48,160.0,52.0,68.0,93,0.0,1
303,Snowshoe Mountain Resort,West Virginia,4848,1500,3348,0,0,0,3,2,6,0,3,14,60,5,1.5,257.0,257.0,125,46,180.0,70.0,87.0,138,86.0,2
304,Timberline Four Seasons,West Virginia,4265,1000,3268,0,0,0,0,0,2,1,1,4,40,1,2.0,100.0,100.0,97,37,150.0,72.0,92.0,115,27.0,1
305,Winterplace Ski Resort,West Virginia,3600,603,2997,0,0,0,0,2,3,2,2,9,27,2,1.2,90.0,90.0,120,36,100.0,56.0,72.0,120,74.0,1
306,Alpine Valley Resort,Wisconsin,1040,388,820,0,0,0,3,0,3,1,5,12,21,3,0.2,90.0,90.0,100,55,80.0,56.0,65.0,120,90.0,1
307,Bruce Mound,Wisconsin,1375,375,1000,0,0,0,0,0,1,0,4,5,12,2,0.5,40.0,30.0,42,71,42.0,33.0,25.0,42,30.0,1
308,Cascade Mountain,Wisconsin,1280,460,820,0,0,0,2,2,3,2,3,12,47,4,1.1,175.0,175.0,120,57,56.0,59.0,64.0,120,0.0,1
309,Christie Mountain,Wisconsin,1650,350,1300,0,0,0,0,0,0,1,5,6,30,4,0.8,45.0,41.0,92,43,48.0,28.0,38.0,120,35.0,1
310,Christmas Mountain,Wisconsin,1250,250,1000,0,0,0,0,1,0,0,2,3,16,0,0.4,40.0,40.0,75,50,20.0,57.92,64.17,70,40.0,1
311,Devils Head,Wisconsin,995,500,495,0,0,0,0,3,1,6,2,12,27,1,1.0,260.0,260.0,110,48,45.0,45.0,65.0,135,200.0,1
312,Grand Geneva,Wisconsin,1086,211,875,0,0,0,0,0,0,3,3,6,20,1,0.2,30.0,30.0,90,25,25.0,28.0,49.0,93,30.0,1
313,Granite Peak Ski Area,Wisconsin,1942,700,1242,0,0,1,2,0,2,0,2,7,75,4,0.6,220.0,160.0,136,82,75.0,92.0,92.0,135,200.0,1
314,Little Switzerland,Wisconsin,1269,200,1069,0,0,0,0,0,0,4,4,8,18,3,1.0,50.0,50.0,101,58,61.5,33.0,41.0,108,50.0,1
315,Mount La Crosse,Wisconsin,1110,516,594,0,0,0,0,0,0,3,1,4,19,1,0.4,100.0,100.0,115,60,40.0,56.0,56.0,100,90.0,1
316,Nordic Mountain,Wisconsin,1137,265,872,0,0,0,0,0,1,1,5,7,18,4,1.0,60.0,60.0,68,43,80.0,57.92,47.0,90,60.0,1
317,Sunburst,Wisconsin,1100,214,866,0,0,0,0,0,0,3,6,9,13,4,0.5,37.0,37.0,99,59,50.0,33.0,44.0,115,37.0,1
318,Trollhaugen,Wisconsin,1200,260,920,0,0,0,0,2,0,1,5,8,24,4,0.5,86.0,86.0,130,69,50.0,54.0,54.0,120,86.0,1
319,Tyrol Basin,Wisconsin,1160,300,860,0,0,0,0,0,3,0,2,5,18,5,0.5,32.0,32.0,112,61,41.0,17.0,48.0,103,32.0,1
320,Whitecap Mountain,Wisconsin,1750,400,1295,0,0,0,0,1,0,4,0,5,43,1,1.0,400.0,300.0,105,57,200.0,60.0,60.0,118,0.0,1
321,Wilmot Mountain,Wisconsin,1030,230,800,0,0,0,0,3,2,2,3,10,23,2,0.5,135.0,135.0,125,81,70.0,56.0,66.0,139,135.0,1
322,Grand Targhee Resort,Wyoming,9920,2270,7851,0,0,0,2,2,0,0,1,5,95,1,2.7,2602.0,105.0,152,50,500.0,90.0,90.0,152,0.0,0
323,Hogadon Basin,Wyoming,8000,640,7400,0,0,0,0,0,0,1,1,2,28,1,0.6,92.0,32.0,121,61,80.0,48.0,48.0,95,0.0,2
324,Jackson Hole,Wyoming,10450,4139,6311,3,0,0,4,4,1,2,1,15,130,6,4.5,2500.0,195.0,130,54,459.0,57.92,64.17,133,0.0,0
325,Meadowlark Ski Lodge,Wyoming,9500,1000,8500,0,0,0,0,0,1,1,1,3,14,1,1.5,300.0,105.0,119,9,292.7,57.92,64.17,116,0.0,0
326,Sleeping Giant Ski Resort,Wyoming,7428,810,6619,0,0,0,0,0,1,1,1,3,48,1,1.0,184.0,18.0,61,81,310.0,42.0,42.0,77,0.0,2
327,Snow King Resort,Wyoming,7808,1571,6237,0,0,0,0,1,1,1,0,3,32,2,1.0,400.0,250.0,121,80,300.0,59.0,59.0,123,110.0,2
328,Snowy Range Ski & Recreation Area,Wyoming,9663,990,8798,0,0,0,0,0,1,3,1,5,33,2,0.7,75.0,30.0,131,59,250.0,49.0,49.0,116,0.0,0
329,White Pine Ski Area,Wyoming,9500,1100,8400,0,0,0,0,0,2,0,0,2,25,0,0.4,370.0,105.0,119,81,150.0,57.92,49.0,116,0.0,0
